profile,t,quality,bw_kbps,buffer_s,switches,stalls,elapsed_s
congestion,30,360p,1501,16.3,0,0,30.4
congestion,60,360p,1501,33.0,0,0,13.7
congestion,90,360p,1501,3.0,0,0,43.7
congestion,120,360p,1501,19.8,0,0,26.9
congestion,150,360p,1501,36.5,0,0,10.1
congestion,180,360p,1501,6.6,0,0,40.1
